"genus","n_species","n_entries","taxon_id","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_info_15","phylo_info_16","phylo_info_17","phylo_lineage"
"Achroia",1,1,688607,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Acyrthosiphon",1,1,7029,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Paraneoptera","Hemiptera","Sternorrhyncha",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Paraneoptera; Hemiptera; Sternorrhyncha"
"Amyelois",1,1,680683,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Aphelenchoides",1,1,1052528,"Eukaryota","Metazoa","Ecdysozoa","Nematoda","Chromadorea","Rhabditida","Tylenchina","Tylenchomorpha","Aphelenchoidea","Aphelenchoididae",NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Tylenchina; Tylenchomorpha; Aphelenchoidea; Aphelenchoididae"
"Aplysia",1,1,6501,"Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Tectipleura","Aplysiida","Aplysioidea",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Tectipleura; Aplysiida; Aplysioidea"
"Araneus",1,1,182803,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Araneoidea; Araneidae"
"Aricia",1,1,91739,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Bactrocera",1,1,27457,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Brachycera",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Brachycera"
"Battus",1,1,42288,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Bicyclus",1,1,110368,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata","Ditrysia","Papilionoidea","Nymphalidae","Satyrinae","Satyrini",NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Papilionoidea; Nymphalidae; Satyrinae; Satyrini"
"Biomphalaria",1,1,112525,"Eukaryota","Metazoa","Spiralia","Lophotrochozoa","Mollusca","Gastropoda","Heterobranchia","Euthyneura","Panpulmonata","Hygrophila","Lymnaeoidea",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; Euthyneura; Panpulmonata; Hygrophila; Lymnaeoidea"
"Blattella",1,1,6973,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Dictyoptera","Blattodea",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Dictyoptera; Blattodea"
"Bombyx",1,1,7091,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Bursaphelenchus",1,1,6325,"Eukaryota","Metazoa","Ecdysozoa","Nematoda","Chromadorea","Rhabditida","Tylenchina","Tylenchomorpha","Aphelenchoidea","Aphelenchoididae",NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Nematoda; Chromadorea; Rhabditida; Tylenchina; Tylenchomorpha; Aphelenchoidea; Aphelenchoididae"
"Caerostris",1,1,1538125,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Chelicerata","Arachnida","Araneae","Araneomorphae","Entelegynae","Araneoidea","Araneidae",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Chelicerata; Arachnida; Araneae; Araneomorphae; Entelegynae; Araneoidea; Araneidae"
"Calypte",1,1,9244,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Archelosauria","Archosauria","Dinosauria","Saurischia","Theropoda","Coelurosauria","Aves","Neognathae","Neoaves","Strisores","Apodiformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Strisores; Apodiformes"
"Cataglyphis",1,1,1086592,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
"Chamberlinius",1,1,1551368,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Myriapoda","Diplopoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Myriapoda; Diplopoda"
"Chionoecetes",1,1,41210,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Brachyura","Eubrachyura","Majoidea","Majidae",NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Crustacea; Multicrustacea; Malacostraca; Eumalacostraca; Eucarida; Decapoda; Pleocyemata; Brachyura; Eubrachyura; Majoidea; Majidae"
"Colias",1,1,72248,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata"
"Colius",1,1,57412,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Archelosauria","Archosauria","Dinosauria","Saurischia","Theropoda","Coelurosauria","Aves","Neognathae","Neoaves","Telluraves",NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Telluraves"
"Colletes",1,1,935657,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Hymenoptera","Apocrita",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Hymenoptera; Apocrita"
"Columba",1,1,8932,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Archelosauria","Archosauria","Dinosauria","Saurischia","Theropoda","Coelurosauria","Aves","Neognathae","Neoaves","Columbimorphae",NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Neoaves; Columbimorphae"
"Contarinia",1,1,265458,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Diptera","Nematocera",NA,NA,NA,NA,NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Diptera; Nematocera"
"Cryptotermes",1,1,105785,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Polyneoptera","Dictyoptera","Blattodea","Blattoidea","Termitoidae","Kalotermitidae","Cryptotermitinae",NA,NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Polyneoptera; Dictyoptera; Blattodea; Blattoidea; Termitoidae; Kalotermitidae; Cryptotermitinae"
"Cydia",1,1,1100963,"Eukaryota","Metazoa","Ecdysozoa","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Endopterygota","Lepidoptera","Glossata","Ditrysia","Tortricoidea","Tortricidae","Olethreutinae","Grapholitini",NA,"Eukaryota; Metazoa; Ecdysozoa; Arthropoda; Hexapoda; Insecta; Pterygota; Neoptera; Endopterygota; Lepidoptera; Glossata; Ditrysia; Tortricoidea; Tortricidae; Olethreutinae; Grapholitini"
