"accession","title","organism","genus","species","taxon_id","sex","tissue_type","length_aa","has_patent","isoform_info","all_7_TM_helices","TM1","TM2","TM3","TM4","TM5","TM6","TM7","phylo_info_1","phylo_info_2","phylo_info_3","phylo_info_4","phylo_info_5","phylo_info_6","phylo_info_7","phylo_info_8","phylo_info_9","phylo_info_10","phylo_info_11","phylo_info_12","phylo_info_13","phylo_info_14","phylo_lineage","phylo_info_15","phylo_info_16","phylo_info_17","phylo_info_18"
"XP_070849264","alpha-2 adrenergic receptor [Chaetodon trifascialis].","Chaetodon trifascialis","Chaetodon","trifascialis","109706","male","heart, liver",449,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Chaetodontiformes","Chaetodontidae","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Chaetodontiformes; Chaetodontidae",NA,NA,NA,NA
"KAG7497448","alpha-2 adrenergic receptor [Solea senegalensis].","Solea senegalensis","Solea","senegalensis","28829","male","blood",434,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Carangaria","Pleuronectiformes","Pleuronectoidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Carangaria; Pleuronectiformes; Pleuronectoidei",NA,NA,NA,NA
"Q91081","RecName: Full=Alpha-2 adrenergic receptor; AltName: Full=Alpha-2","Labrus ossifagus","Labrus","ossifagus","30800",NA,NA,432,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"TWW63096","Alpha-2 adrenergic receptor [Takifugu flavidus].","Takifugu flavidus","Takifugu","flavidus","433684","female","muscle",428,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Tetraodontiformes","Tetradontoidea","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Tetraodontiformes; Tetradontoidea",NA,NA,NA,NA
"XP_033507902","alpha-2 adrenergic receptor [Epinephelus lanceolatus].","Epinephelus lanceolatus","Epinephelus","lanceolatus","310571","female","fin",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Serranoidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Serranoidei; Serranidae","Serranidae",NA,NA,NA
"XP_052429779","alpha-2 adrenergic receptor [Carassius gibelio].","Carassius gibelio","Carassius","gibelio","101364","female","blood",405,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Ostariophysi",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Ostariophysi",NA,NA,NA,NA
"P08913","RecName: Full=Alpha-2A adrenergic receptor; AltName: Full=Alpha-2","Homo sapiens","Homo","sapiens","9606",NA,NA,465,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Mammalia","Eutheria","Euarchontoglires","Primates","Haplorrhini",NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Mammalia; Eutheria; Euarchontoglires; Primates; Haplorrhini",NA,NA,NA,NA
"XP_004571257","alpha-2 adrenergic receptor [Maylandia zebra].","Maylandia zebra","Maylandia","zebra","106582","male","Heart and Blood",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Cichlomorphae","Cichliformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini","Cichlidae","African cichlids","Pseudocrenilabrinae","Haplochromini"
"CAN1973228","Alpha-2 adrenergic receptor [Bufotes viridis].","Bufotes viridis","Bufotes","viridis","30338",NA,NA,401,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Amphibia","Batrachia","Anura","Neobatrachia","Hyloidea","Bufonidae",NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Neobatrachia; Hyloidea; Bufonidae",NA,NA,NA,NA
"XP_075968562","alpha-2 adrenergic receptor [Anarhichas minor].","Anarhichas minor","Anarhichas","minor","65739","male","spleen",432,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Cottioidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Cottioidei; Zoarcales","Zoarcales",NA,NA,NA
"XP_031707070","alpha-2 adrenergic receptor [Anarrhichthys ocellatus].","Anarrhichthys ocellatus","Anarrhichthys","ocellatus","433405","female","blood",432,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Cottioidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Cottioidei; Zoarcales","Zoarcales",NA,NA,NA
"XP_030286678","alpha-2 adrenergic receptor [Sparus aurata].","Sparus aurata","Sparus","aurata","8175",NA,NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"XP_028420581","alpha-2 adrenergic receptor [Perca flavescens].","Perca flavescens","Perca","flavescens","8167","male","blood",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Percoidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Percoidei; Percidae","Percidae",NA,NA,NA
"XP_075307208","alpha-2 adrenergic receptor [Odontesthes bonariensis].","Odontesthes bonariensis","Odontesthes","bonariensis","219752","female","blood, heart",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Atheriniformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Atheriniformes",NA,NA,NA,NA
"XP_027893095","alpha-2 adrenergic receptor [Xiphophorus couchianus].","Xiphophorus couchianus","Xiphophorus","couchianus","32473","female",NA,430,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Cyprinodontiformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Cyprinodontiformes",NA,NA,NA,NA
"XP_026008188","alpha-2 adrenergic receptor [Astatotilapia calliptera].","Astatotilapia calliptera","Astatotilapia","calliptera","8154",NA,NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Cichlomorphae","Cichliformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini","Cichlidae","African cichlids","Pseudocrenilabrinae","Haplochromini"
"XP_030018720","alpha-2 adrenergic receptor [Sphaeramia orbicularis].","Sphaeramia orbicularis","Sphaeramia","orbicularis","375764",NA,NA,438,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Gobiaria","Kurtiformes","Apogonoidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Gobiaria; Kurtiformes; Apogonoidei; Apogonidae","Apogonidae",NA,NA,NA
"XP_029382524","alpha-2 adrenergic receptor [Echeneis naucrates].","Echeneis naucrates","Echeneis","naucrates","173247",NA,NA,434,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"XP_030609812","alpha-2 adrenergic receptor [Archocentrus centrarchus].","Archocentrus centrarchus","Archocentrus","centrarchus","63155","male","muscle",433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Cichlomorphae","Cichliformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; New World cichlids; Cichlasomatinae; Heroini","Cichlidae","New World cichlids","Cichlasomatinae","Heroini"
"XP_029310796","alpha-2 adrenergic receptor [Cottoperca gobio].","Cottoperca gobio","Cottoperca","gobio","56716",NA,NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Notothenioidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Notothenioidei",NA,NA,NA,NA
"XP_029932825","alpha-2 adrenergic receptor [Myripristis murdjan].","Myripristis murdjan","Myripristis","murdjan","586833",NA,NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"XP_026152648","alpha-2 adrenergic receptor [Mastacembelus armatus].","Mastacembelus armatus","Mastacembelus","armatus","205130",NA,NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Anabantaria","Synbranchiformes","Mastacembelidae","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Anabantaria; Synbranchiformes; Mastacembelidae",NA,NA,NA,NA
"XP_032367284","alpha-2 adrenergic receptor [Etheostoma spectabile].","Etheostoma spectabile","Etheostoma","spectabile","54343","male","muscle",434,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Eupercaria","Perciformes","Percoidei","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Eupercaria; Perciformes; Percoidei; Percidae","Percidae",NA,NA,NA
"XP_074517923","alpha-2 adrenergic receptor [Halichoeres trimaculatus].","Halichoeres trimaculatus","Halichoeres","trimaculatus","147232",NA,NA,450,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"XP_013875010","alpha-2 adrenergic receptor [Austrofundulus limnaeus].","Austrofundulus limnaeus","Austrofundulus","limnaeus","52670","male","liver; brain; white muscle",452,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Cyprinodontiformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Cyprinodontiformes",NA,NA,NA,NA
"XP_016526597","alpha-2 adrenergic receptor [Poecilia formosa].","Poecilia formosa","Poecilia","formosa","48698","female",NA,430,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Atherinomorphae","Cyprinodontiformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Atherinomorphae; Cyprinodontiformes",NA,NA,NA,NA
"XP_010735486","alpha-2 adrenergic receptor [Larimichthys crocea].","Larimichthys crocea","Larimichthys","crocea","215358",NA,"blood",438,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"XP_020480022","alpha-2 adrenergic receptor [Monopterus albus].","Monopterus albus","Monopterus","albus","43700","male",NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Anabantaria","Synbranchiformes","Synbranchidae","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Anabantaria; Synbranchiformes; Synbranchidae",NA,NA,NA,NA
"XP_008296631","alpha-2 adrenergic receptor [Stegastes partitus].","Stegastes partitus","Stegastes","partitus","144197","male",NA,434,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei",NA,NA,NA,NA,"Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei",NA,NA,NA,NA
"XP_005749809","alpha-2 adrenergic receptor [Pundamilia nyererei].","Pundamilia nyererei","Pundamilia","nyererei","303518","female",NA,433,"no","no","yes",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"Eukaryota","Metazoa","Chordata","Craniata","Vertebrata","Euteleostomi","Actinopterygii","Neopterygii","Teleostei","Neoteleostei","Acanthomorphata","Ovalentaria","Cichlomorphae","Cichliformes","Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Actinopterygii; Neopterygii; Teleostei; Neoteleostei; Acanthomorphata; Ovalentaria; Cichlomorphae; Cichliformes; Cichlidae; African cichlids; Pseudocrenilabrinae; Haplochromini","Cichlidae","African cichlids","Pseudocrenilabrinae","Haplochromini"
